AÑO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ACUM,PROM,MESES
1978,,,,,,,28.4,26.5,23.3,24.4,22,14.8,,23.2,6
1979,11.2,14.1,18.6,21.8,23.4,26,28.6,27.2,25,22.1,15.6,12.5,,20.5,12
1980,14.6,13.9,18.4,19.8,24,28.9,29.1,27,,21,14.4,13.6,,20.4,11
1981,10.6,12.9,17.4,21.5,22.2,,26,26.6,23.9,21.2,18.5,,,20.1,10
1982,13.3,12.9,18.9,21.1,21.9,27,28,,,,,,,20.4,7
1983,10.8,14.3,16.9,17.4,25.7,,,26.7,24.2,22.4,19.5,11.8,,19,10
1984,10.9,15.4,,,23.7,24.8,25.5,,,,,,,20.1,5
1985,7.8,15,18.1,20.6,23.5,24.4,24.9,26.2,25.4,24.1,19.6,14.2,,20.3,12
1986,14.6,16.6,18.4,21.8,24,25.4,25.1,26,23.6,19.6,17.4,10.2,,20.2,12
1987,10,13.5,13.2,16.6,23.6,25.2,,27.5,24.3,19.9,16,12.2,,18.4,11
1988,8.8,12.4,17.5,20.7,23,25.6,28.5,26.2,24.5,21,18.7,12.9,,20,12
1989,14.4,11.4,18.9,21.1,27.4,28.4,28.2,26.3,23.2,19.4,17.5,8.7,,20.4,12
1990,14.2,,17.7,21.3,26.4,28.4,26.4,25.9,23.6,19.4,16.7,12.4,,21.1,11
1991,11.2,14.8,20.4,23,25.3,26.5,25.8,27.3,23,20.9,,13,,21,11
1992,11.8,15.2,18.3,19.6,22.2,27,28,26.9,24.4,20.4,15.1,13.8,,20.2,12
1993,13.2,14.4,17.3,21.2,23.2,25.4,27.1,27,23.8,19.5,14.4,13.2,,20,12
1994,,13.6,17.7,20.6,24,26.2,27.4,25.6,22.8,20.6,18.9,14.8,,21.1,11
1995,12.1,15.6,17.1,21,25.2,25.5,26.4,25.6,23.4,20.6,16.4,12.7,,20.1,12
1996,12.6,15.2,15.8,21.2,26.8,28.1,27.9,25.8,23.8,20.3,16.4,13.4,,20.6,12
1997,11.6,13.8,18.5,18.8,23.2,26.5,28.5,28.6,25.7,20.8,16.6,13.2,,20.5,12
1998,16.1,16,17.6,21.8,28.2,30,29.1,27.8,25.9,22.2,19.4,14.5,,22.4,12
1999,15.4,17.8,19.3,24.7,26.6,28,,,,,17.8,13.3,,20.4,8
2000,16.3,18.7,21.2,23.8,26.8,26.5,28.8,27.4,25.8,18.8,14.7,9.1,,21.5,12
2001,11.3,13,12,17.9,19.6,27.3,27.4,28.1,24.6,20.9,17.3,14.4,,19.5,12
2002,14.3,13.4,18.4,24.2,26.8,28.3,26.4,27.8,24.3,23,16.1,14.1,,21.4,12
2003,12.7,14.9,,,,,,,,,,,,13.8,2
2005,,,,,,,26.9,26.5,25.8,21.4,17.4,13.4,,21.9,6
2006,14.8,15.2,20.3,24.4,25.4,27.3,27,27.2,24.6,22.4,17.2,13.2,,21.6,12
2007,11,15.7,19.1,20.6,24.8,26.3,26.4,26.6,25.6,22.8,17.6,16,,21,12
2008,12.8,17.6,18.9,22.6,25.8,28.1,25.7,26.9,23.8,20.8,17.4,14.8,,21.3,12
2009,15.2,17.4,18.4,23.3,25.9,28.4,29.4,28.9,24.9,21.9,16.7,13.2,,22,12
2010,12.3,12,16.4,21.5,25,27.5,26.6,27.7,26.4,21.8,17.3,14.6,,20.8,12
2011,14.2,15.6,21.9,26.1,27.8,29.2,28,29.5,27,21.9,18.1,13.8,,22.8,12
2012,15.7,16.4,21,24.8,26.6,27.9,28,28.6,26.2,22.9,18.6,15.6,,22.7,12
2013,13.8,18.1,18.9,22.1,24.6,28,27.5,28,25,22.5,16,13.9,,21.5,12
2014,12.5,15.5,17,21.7,23.4,27.6,27.5,27.7,24.5,22.4,14.6,15.8,,20.9,12
2015,11.7,13.8,16.8,22.5,24.4,25.6,26.7,27.5,25.8,23,18.1,15.1,,20.9,12
2016,12.3,16,20.2,23.4,24.8,26.6,28.6,27.5,25.4,22.5,19.2,15.7,,21.9,12
2017,15,18.8,20.6,22.5,24.6,27.4,27.4,28.8,26,21,18.8,14.2,,22.1,12
2018,10.5,18,20.4,20.9,25,27.5,27.9,28.4,26,21.4,15.9,14.1,,21.3,12
2019,13.1,16.6,17.8,21.4,25.7,28.1,28.1,30,26.2,23.2,17.3,15.7,,21.9,12
2020,15.4,15.8,22.3,23.5,25,25.1,27.8,27,24.6,21.8,19.2,13.7,,21.8,12
2021,13.8,14.2,19.9,22.8,25.4,26.8,26.2,27.6,26.9,23.5,18.1,18.3,,22,12
2022,11.8,13,18,24.1,27.2,28.5,29.5,28.9,24.9,19.9,16.9,16,,21.6,12
2023,15.8,19,21.9,21.6,24.4,28.9,29.3,30.8,29,22.6,17,15,,22.9,12
2024,13.4,17.3,20,23.6,29.8,28,26.8,27.6,26,22.1,20.3,16.9,,22.7,12
2025,11.4,16.5,21.1,23.7,26.9,27.6,27.4,29,26.1,23.8,19.6,17.4,,22.5,12
2026,13.7,18.1,21.4,22.3,25,27.6,,,,,,,,21.4,6
